id,region
SRR22671616,North
SRR22671622,Center
SRR22671626,South
SRR22671628,South
SRR22671629,South
SRR22671634,South
SRR22671637,South
SRR22671640,South
SRR22671642,South
SRR22671643,South
SRR22671647,South
SRR22671649,South
SRR22671652,South
SRR22671658,South
SRR22671660,South
SRR22671661,South
SRR22671665,South
SRR22671666,South
SRR22671675,South
SRR22671676,South
SRR22671682,South
SRR22671684,South
SRR22671685,South
SRR22671692,South
SRR22671694,South
SRR22671695,South
SRR22671696,South
SRR22671700,South
SRR22671704,South
SRR22671707,South
SRR22671711,South
SRR22671713,South
SRR22671715,South
SRR22671718,South
SRR22671719,South
SRR22671723,South
SRR22671726,South
SRR22671732,South
SRR22671735,South
SRR22671736,South
SRR22671739,South
SRR22671741,South
SRR22671743,North
SRR22671746,North
SRR22671747,Center
SRR22671748,Center
SRR22671752,North
SRR22671753,Center
SRR22671756,Center
SRR22671759,North
SRR22671762,North
SRR22671763,North
SRR22671770,North
SRR22671773,North
SRR22671777,North
SRR22671778,South
SRR22671791,South
SRR22671792,South
SRR22671796,South
SRR22671797,South
SRR22671800,South
SRR22671808,South
SRR22671810,South
SRR22671816,South
SRR22671818,South
SRR22671619,North
SRR22671821,South
SRR22671621,Center
SRR22671615,South
SRR22671822,South
SRR22671623,Center
SRR22671825,South
SRR22671617,South
SRR22671627,South
SRR22671830,South
SRR22671618,North
SRR22671630,South
SRR22671831,South
SRR22671620,North
SRR22671633,South
SRR22671833,South
SRR22671624,Center
SRR22671838,South
SRR22671625,Center
SRR22671639,South
SRR22671843,South
SRR22671631,South
SRR22671645,South
SRR22671845,South
SRR22671632,South
SRR22671646,South
SRR22671847,South
SRR22671635,South
SRR22671650,South
SRR22671850,South
SRR22671636,South
SRR22671651,South
SRR22671851,South
SRR22671638,South
SRR22671855,South
SRR22671653,South
SRR22671654,South
SRR22671659,South
SRR22671662,South
SRR22671664,South
SRR22671667,South
SRR22671669,South
SRR22671670,South
SRR22671671,South
SRR22671673,South
SRR22671674,South
SRR22671678,South
SRR22671680,South
SRR22671686,South
SRR22671688,South
SRR22671697,South
SRR22671698,South
SRR22671699,South
SRR22671701,South
SRR22671702,South
SRR22671703,South
SRR22671709,South
SRR22671712,South
SRR22671716,South
SRR22671720,South
SRR22671721,South
SRR22671722,South
SRR22671728,South
SRR22671730,South
SRR22671731,South
SRR22671734,South
SRR22671737,South
SRR22671738,South
SRR22671740,South
SRR22671742,South
SRR22671744,North
SRR22671749,North
SRR22671750,South
SRR22671751,South
SRR22671755,South
SRR22671757,North
SRR22671758,North
SRR22671760,Center
SRR22671761,South
SRR22671764,Center
SRR22671765,Center
SRR22671766,South
SRR22671769,North
SRR22671771,Center
SRR22671774,North
SRR22671776,North
SRR22671786,North
SRR22671787,Center
SRR22671789,South
SRR22671790,Center
SRR22671804,South
SRR22671805,South
SRR22671811,South
SRR22671812,South
SRR22671813,South
SRR22671815,South
SRR22671817,South
SRR22671820,South
SRR22671823,South
SRR22671827,South
SRR22671828,South
SRR22671829,South
SRR22671832,South
SRR22671835,South
SRR22671836,South
SRR22671839,South
SRR22671840,South
SRR22671841,South
SRR22671844,South
SRR22671846,South
SRR22671852,South
SRR22671854,South
SRR22671862,South
SRR22671863,South
SRR22671865,South
SRR22671866,South
SRR22671867,South
SRR22671872,South
SRR22671875,South
SRR22671883,South
SRR22671887,South
SRR22671888,South
SRR22671891,North
SRR22671896,North
SRR22671899,North
SRR22671906,South
SRR22671911,North
SRR22671912,North
SRR22671917,Center
SRR22671921,North
SRR22671927,South
SRR22671928,South
SRR22671931,South
SRR22671932,South
SRR22671933,South
SRR22671937,South
SRR22671942,South
SRR22671944,South
SRR22671947,South
SRR22671953,South
SRR22671954,South
SRR22671960,South
SRR22671964,South
SRR22671965,South
SRR22671966,Center
SRR22671974,Center
SRR22671975,North
SRR22671977,Center
SRR22671982,North
SRR22671986,North
SRR22671988,Center
SRR22671989,South
SRR22671990,North
SRR22671641,South
SRR22671993,North
SRR22671994,Center
SRR22671644,South
SRR22672000,South
SRR22671648,South
SRR22672001,South
SRR22671655,South
SRR22672002,North
SRR22671656,South
SRR22672012,South
SRR22671657,South
SRR22672013,South
SRR22671663,South
SRR22672015,South
SRR22671668,South
SRR22672017,South
SRR22671672,South
SRR22672024,South
SRR22671677,South
SRR22672030,South
SRR22671679,South
SRR22672031,South
SRR22671681,South
SRR22672033,South
SRR22671683,South
SRR22672034,South
SRR22671687,South
SRR22672036,South
SRR22671689,South
SRR22672046,South
SRR22671690,South
SRR22672058,South
SRR22671691,South
SRR22672059,South
SRR22671693,South
SRR22672061,South
SRR22671705,South
SRR22672065,South
SRR22671706,South
SRR22672066,South
SRR22671708,South
SRR22672070,South
SRR22671710,South
SRR22672071,South
SRR22671714,South
SRR22672073,South
SRR22671717,South
SRR22672074,South
SRR22671724,South
SRR22672084,South
SRR22671725,South
SRR22672085,South
SRR22671727,South
SRR22672092,South
SRR22671729,South
SRR22672096,South
SRR22671733,South
SRR22672098,South
SRR22671745,Center
SRR22672100,South
SRR22671754,Center
SRR22672102,North
SRR22671767,North
SRR22672104,North
SRR22671768,Center
SRR22672105,South
SRR22671772,North
SRR22672106,South
SRR22671775,North
SRR22672107,Center
SRR22671779,North
SRR22672111,South
SRR22671780,North
SRR22672112,North
SRR22671781,North
SRR22672115,Center
SRR22671782,South
SRR22671783,Center
SRR22671784,Center
SRR22671785,North
SRR22671788,Center
SRR22671793,South
SRR22671794,South
SRR22671795,South
SRR22671798,South
SRR22671856,South
SRR22671799,South
SRR22671857,South
SRR22671801,South
SRR22671858,South
SRR22671802,South
SRR22671859,South
SRR22671803,South
SRR22671806,South
SRR22671860,South
SRR22671807,South
SRR22671861,South
SRR22671809,South
SRR22671868,South
SRR22671814,South
SRR22671870,Center
SRR22671819,South
SRR22671874,South
SRR22671824,South
SRR22671876,South
SRR22671826,South
SRR22671834,South
SRR22671878,South
SRR22671837,South
SRR22671881,South
SRR22671842,South
SRR22671886,South
SRR22671848,South
SRR22671849,South
SRR22671889,South
SRR22671853,South
SRR22671893,North
SRR22671864,South
SRR22671900,North
SRR22671869,South
SRR22671871,South
SRR22671905,North
SRR22671873,South
SRR22671910,North
SRR22671877,South
SRR22671915,Center
SRR22671879,South
SRR22671916,North
SRR22671880,South
SRR22671918,Center
SRR22671882,South
SRR22671919,Center
SRR22671884,South
SRR22671920,North
SRR22671885,South
SRR22671924,North
SRR22671890,North
SRR22671925,North
SRR22671892,South
SRR22671926,South
SRR22671894,Center
SRR22671929,South
SRR22671895,South
SRR22671930,South
SRR22671897,Center
SRR22671935,South
SRR22671898,North
SRR22671936,South
SRR22671901,North
SRR22671941,South
SRR22671902,Center
SRR22671945,South
SRR22671903,North
SRR22671946,South
SRR22671904,North
SRR22671950,South
SRR22671907,South
SRR22671961,South
SRR22671908,North
SRR22671967,Center
SRR22671909,North
SRR22671969,North
SRR22671913,North
SRR22671973,North
SRR22671914,North
SRR22671981,North
SRR22671922,Center
SRR22671923,South
SRR22671934,South
SRR22671938,South
SRR22671939,South
SRR22671940,South
SRR22671943,South
SRR22671948,South
SRR22671949,South
SRR22671951,South
SRR22671952,South
SRR22671955,South
SRR22671956,South
SRR22671957,South
SRR22671958,South
SRR22671959,South
SRR22671962,South
SRR22671963,South
SRR22671968,South
SRR22671970,South
SRR22671971,Center
SRR22671972,Center
SRR22671976,North
SRR22671978,North
SRR22671979,South
SRR22671980,North
SRR22671983,North
SRR22671984,North
SRR22671985,North
SRR22671987,Center
SRR22671991,North
SRR22671992,Center
SRR22671997,Center
SRR22671995,North
SRR22671999,North
SRR22671996,Center
SRR22672003,Center
SRR22671998,Center
SRR22672004,Center
SRR22672005,North
SRR22672014,South
SRR22672018,South
SRR22672021,South
SRR22672022,South
SRR22672025,South
SRR22672006,Center
SRR22672027,South
SRR22672007,North
SRR22672028,South
SRR22672008,Center
SRR22672029,South
SRR22672009,North
SRR22672032,South
SRR22672035,South
SRR22672037,South
SRR22672039,South
SRR22672040,South
SRR22672010,Center
SRR22672041,South
SRR22672042,South
SRR22672011,North
SRR22672043,South
SRR22672044,South
SRR22672019,South
SRR22672047,South
SRR22672020,South
SRR22672048,South
SRR22672023,South
SRR22672050,South
SRR22672026,South
SRR22672052,South
SRR22672038,South
SRR22672053,South
SRR22672045,South
SRR22672054,South
SRR22672049,South
SRR22672057,South
SRR22672051,South
SRR22672062,South
SRR22672055,South
SRR22672064,South
SRR22672056,South
SRR22672067,South
SRR22672060,South
SRR22672063,South
SRR22672068,South
SRR22672069,South
SRR22672072,South
SRR22672075,South
SRR22672076,South
SRR22672078,South
SRR22672077,South
SRR22672083,South
SRR22672079,South
SRR22672086,South
SRR22672080,South
SRR22672088,South
SRR22672081,South
SRR22672089,South
SRR22672082,South
SRR22672090,South
SRR22672087,South
SRR22672094,South
SRR22672091,South
SRR22672101,South
SRR22672093,South
SRR22672110,Center
SRR22672095,South
SRR22672114,North
SRR22672097,South
SRR22672116,North
SRR22672099,South
SRR22672118,North
SRR22672103,North
SRR22672119,North
SRR22672108,North
SRR22672121,South
SRR22672109,South
SRR22672113,Center
SRR22672117,Center
SRR22672120,North
